starttime	seconds	ctime	dtime	ttime	wait
Mon Jul 21 21:05:22 2025	1753128322	335	115	450	115
Mon Jul 21 21:05:22 2025	1753128322	216	233	450	224
Mon Jul 21 21:05:22 2025	1753128322	0	450	450	439
Mon Jul 21 21:05:21 2025	1753128321	16	434	450	418
Mon Jul 21 21:05:22 2025	1753128322	90	360	450	359
Mon Jul 21 21:05:22 2025	1753128322	91	360	450	359
Mon Jul 21 21:05:22 2025	1753128322	152	299	451	297
Mon Jul 21 21:05:22 2025	1753128322	152	299	451	299
Mon Jul 21 21:05:21 2025	1753128321	31	420	451	401
Mon Jul 21 21:05:22 2025	1753128322	91	360	451	358
Mon Jul 21 21:05:21 2025	1753128321	10	442	452	260
Mon Jul 21 21:05:21 2025	1753128321	10	442	452	259
Mon Jul 21 21:05:22 2025	1753128322	91	362	453	362
Mon Jul 21 21:05:21 2025	1753128321	13	440	453	419
Mon Jul 21 21:05:21 2025	1753128321	13	440	453	418
Mon Jul 21 21:05:21 2025	1753128321	31	422	453	404
Mon Jul 21 21:05:21 2025	1753128321	32	422	454	404
Mon Jul 21 21:05:21 2025	1753128321	31	423	454	423
Mon Jul 21 21:05:22 2025	1753128322	152	302	454	301
Mon Jul 21 21:05:21 2025	1753128321	31	423	454	402
Mon Jul 21 21:05:21 2025	1753128321	31	423	455	415
Mon Jul 21 21:05:21 2025	1753128321	31	424	455	414
Mon Jul 21 21:05:21 2025	1753128321	31	424	455	416
Mon Jul 21 21:05:21 2025	1753128321	12	443	456	219
Mon Jul 21 21:05:22 2025	1753128322	0	455	456	431
Mon Jul 21 21:05:22 2025	1753128322	91	365	456	364
Mon Jul 21 21:05:22 2025	1753128322	0	456	456	445
Mon Jul 21 21:05:21 2025	1753128321	31	427	458	408
Mon Jul 21 21:05:21 2025	1753128321	31	427	458	426
Mon Jul 21 21:05:21 2025	1753128321	31	427	458	407
Mon Jul 21 21:05:21 2025	1753128321	31	427	458	408
Mon Jul 21 21:05:21 2025	1753128321	32	427	458	416
Mon Jul 21 21:05:21 2025	1753128321	12	446	459	249
Mon Jul 21 21:05:21 2025	1753128321	32	427	459	414
Mon Jul 21 21:05:21 2025	1753128321	32	427	459	416
Mon Jul 21 21:05:21 2025	1753128321	32	428	460	409
Mon Jul 21 21:05:21 2025	1753128321	31	429	460	426
